,Name,Born,Age,Batting Style,Bowling Style,Playing Role,Teams_playing,PlayerName,Mat,Span,Runs,HS,Bat Avg,100s,Wkts,Bowl Avg,5w,Catches,Stumping,Avg Diff,Matches_won,Matches_lost,HS(out/not_out),BBI_wickets,BBI_runs,career_span_yrs
1249,Danielle Nicole Wyatt,1991-04-22,32,Right hand Bat,Right arm Offbreak,Top order Batter,14,Danielle Nicole Wyatt,151,2010-2023,2602,124,22.05,2,46,15.54,0,35,0,6.5,111,37,Out,4,11,13
1286,Arshdeep Singh,1999-02-05,24,Left hand Bat,Left arm Medium fast,Bowler,6,Arshdeep Singh,44,2022-2024,34,12,8.5,0,62,20.87,0,12,0,-12.37,30,12,Out,4,37,2
1288,Ravichandran Ashwin,1986-09-17,37,Right hand Bat,Right arm Offbreak,Bowling Allrounder,20,Ravichandran Ashwin,65,2010-2022,184,31,26.28,0,72,23.22,0,11,0,3.06,43,21,Not Out,4,8,12
1291,Avesh Khan,1996-12-13,27,Right hand Bat,Right arm Fast medium,Bowler,10,Avesh Khan,20,2022-2024,11,8,11.0,0,19,32.52,0,10,0,-21.52,13,5,Out,4,18,2
1296,Simran Dil Bahadur,1999-12-13,24,Left hand Bat,Right arm Medium,Bowling Allrounder,6,Simran Dil Bahadur,6,2021-2022,10,10,10.0,0,1,126.0,0,1,0,-116.0,2,4,Out,1,29,1
1311,Stuart Terence Roger Binny,1984-06-03,39,Right hand Bat,Right arm Medium,Allrounder,11,Stuart Terence Roger Binny,3,2015-2016,35,24,17.5,0,1,54.0,0,0,0,-36.5,1,2,Out,1,14,1
1312,Ekta Bisht,1986-02-08,37,Left hand Bat,Slow Left arm Orthodox,Bowler,5,Ekta Bisht,42,2011-2019,40,15,5.0,0,53,14.71,0,6,0,-9.71,22,20,Out,4,21,8
1315,Jasprit Jasbirsingh Bumrah,1993-12-06,30,Right hand Bat,Right arm Fast,Bowler,7,Jasprit Jasbirsingh Bumrah,62,2016-2023,8,7,4.0,0,74,19.66,0,7,0,-15.66,44,13,Out,3,11,7
1317,Yuzvendra Singh Chahal,1990-07-23,33,Right hand Bat,Legbreak Googly,Bowler,7,Yuzvendra Singh Chahal,80,2016-2023,6,3,3.0,0,96,25.09,1,14,0,-22.09,52,24,Not Out,6,25,7
1318,Deepak Lokandersingh Chahar,1992-08-07,31,Right hand Bat,Right arm Medium,Bowler,8,Deepak Lokandersingh Chahar,25,2018-2023,53,31,26.5,0,31,24.09,1,2,0,2.4,20,5,Out,6,7,5
1319,Rahul Desraj Chahar,1999-08-04,24,Right hand Bat,Legbreak Googly,Bowler,16,Rahul Desraj Chahar,6,2019-2021,5,5,5.0,0,7,23.85,0,3,0,-18.85,4,2,Out,3,15,2
1321,Piyush Pramod Chawla,1988-12-24,35,Left hand Bat,Legbreak,Bowling Allrounder,22,Piyush Pramod Chawla,7,2010-2012,0,0,0.0,0,4,37.75,0,2,0,-37.75,4,3,Out,2,13,2
1330,Diana Pilli David,1985-03-02,38,Right hand Bat,Right arm Offbreak,Middle order Batter,2,Diana Pilli David,13,2010-2012,15,7,3.0,0,16,14.18,0,2,0,-11.18,5,8,Not Out,4,12,2
1332,Harleen Deol,1998-06-21,25,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Middle order Batter,6,Harleen Deol,24,2019-2023,251,52,16.73,0,6,23.33,0,6,0,-6.6,11,12,Out,2,13,4
1347,Ashok Bhimchandra Dinda,1984-03-25,39,Right hand Bat,Right arm Medium fast,Bowler,11,Ashok Bhimchandra Dinda,9,2009-2012,22,19,22.0,0,17,14.41,0,1,0,7.58,6,3,Out,4,19,3
1348,Shivam Dube,1993-06-26,30,Left hand Bat,Right arm Medium,Allrounder,9,Shivam Dube,21,2019-2024,276,63,39.42,0,8,45.0,0,11,0,-5.57,14,2,Not Out,3,30,5
1358,Rajeshwari Shivanand Gayakwad,1991-06-01,32,Right hand Bat,Slow Left arm Orthodox,Bowler,4,Rajeshwari Shivanand Gayakwad,58,2014-2023,12,5,12.0,0,61,19.13,0,10,0,-7.13,29,25,Not Out,3,9,9
1380,Dayalan Hemalatha,1994-09-29,29,Right hand Bat,Right arm Offbreak,Top order Batter,4,Dayalan Hemalatha,15,2018-2022,90,20,9.0,0,9,14.66,0,1,0,-5.66,9,6,Out,3,15,4
1382,Deepak Jagbir Hooda,1995-04-19,28,Right hand Bat,Right arm Offbreak,Allrounder,8,Deepak Jagbir Hooda,21,2022-2023,368,104,30.66,1,6,12.66,0,12,0,18.0,15,5,Out,4,10,1
1385,Saika Ishaque,1995-10-08,28,Left hand Bat,Slow Left arm Orthodox,Bowler,4,Saika Ishaque,3,2023-2023,8,8,8.0,0,5,16.2,0,0,0,-8.2,1,2,Out,3,22,0
