,Name,Born,Age,Batting Style,Bowling Style,Playing Role,Teams_playing,PlayerName,Mat,Span,Runs,HS,Bat Avg,100s,Wkts,Bowl Avg,5w,Catches,Stumping,Avg Diff,Matches_won,Matches_lost,HS(out/not_out),BBI_wickets,BBI_runs,career_span_yrs
1781,Jane Maguire,2003-02-18,20,Right hand Bat,Right arm Medium,Bowler,3,Jane Maguire,16,2022-2023,6,3,3.0,0,11,26.81,0,2,0,-23.81,7,9,Not Out,2,14,1
1782,Lara Maritz,2001-01-07,23,Right hand Bat,Right arm Medium,Bowler,2,Lara Maritz,26,2018-2021,70,16,7.77,0,17,21.47,0,9,0,-13.69,12,14,Not Out,3,4,3
1784,Andrew Robert McBrine,1993-04-30,30,Left hand Bat,Right arm Offbreak,Bowling Allrounder,7,Andrew Robert McBrine,32,2014-2022,155,36,12.91,0,23,21.17,0,13,0,-8.25,12,18,Out,2,7,8
1787,Barry John McCarthy,1992-09-13,31,Right hand Bat,Right arm Fast medium,Bowler,9,Barry John McCarthy,46,2017-2023,272,51,14.31,0,46,30.78,0,10,0,-16.46,17,26,Not Out,4,30,6
1802,Jacob Mulder,1995-08-11,28,Right hand Bat,Legbreak,Bowler,3,Jacob Mulder,8,2016-2017,6,5,3.0,0,12,16.0,0,2,0,-13.0,2,6,Not Out,4,16,1
1804,Cara Murray,2000-11-01,23,Right hand Bat,Legbreak,Bowler,1,Cara Murray,41,2018-2024,38,13,6.33,0,28,26.85,0,13,0,-20.52,21,20,Out,3,9,6
1809,Kevin Joseph O'Brien,1984-03-04,39,Right hand Bat,Right arm Medium fast,Batting Allrounder,27,Kevin Joseph O'Brien,110,2008-2021,1973,124,21.21,1,58,19.81,0,40,0,1.4,45,56,Out,4,45,13
1812,Leah Paul,1999-09-10,24,Left hand Bat,Slow Left arm Orthodox,Allrounder,2,Leah Paul,36,2019-2024,187,47,11.0,0,24,21.58,0,8,0,-10.58,19,16,Out,4,16,5
1816,Orla Prendergast,2002-06-01,21,Right hand Bat,"Right arm Medium fast, Right arm Medium",Allrounder,2,Orla Prendergast,47,2019-2024,859,75,23.86,0,26,22.15,0,14,0,1.7,27,19,Not Out,3,10,5
1819,Rachel Delaney,1997-05-05,26,Right hand Bat,Right arm Offbreak,Allrounder,2,Rachel Delaney,10,2018-2022,40,12,10.0,0,3,37.66,0,1,0,-27.66,3,7,Out,1,0,4
1822,William Boyd Rankin,1984-07-05,39,Left hand Bat,Right arm Fast medium,Bowler,14,William Boyd Rankin,50,2009-2020,64,16,9.14,0,55,22.16,0,16,0,-13.02,22,25,Not Out,3,16,11
1824,Eimear Ann Jermyn Richardson,1986-09-14,37,Right hand Bat,Right arm Offbreak,Allrounder,4,Eimear Ann Jermyn Richardson,69,2008-2023,695,63,15.44,0,54,22.24,0,10,0,-6.79,27,41,Not Out,3,9,15
1835,Simi Singh,1987-02-04,37,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Bowling Allrounder,3,Simi Singh,53,2018-2022,296,57,10.2,0,44,27.84,0,16,0,-17.63,22,28,Not Out,3,9,4
1837,Max Christian Sorensen,1985-11-18,38,Right hand Bat,Right arm Fast medium,Bowler,1,Max Christian Sorensen,26,2012-2016,92,26,18.4,0,26,18.11,0,9,0,0.28,14,9,Out,3,17,4
1840,Paul Robert Stirling,1990-09-03,33,Right hand Bat,Right arm Offbreak,Batting Allrounder,30,Paul Robert Stirling,134,2009-2023,3438,115,28.18,1,20,33.95,0,35,0,-5.76,56,72,Not Out,3,21,14
1842,Harry Tom Tector,1999-12-06,24,Right hand Bat,Right arm Offbreak,Middle order Batter,8,Harry Tom Tector,67,2019-2023,1171,64,23.42,0,7,19.14,0,39,0,4.27,29,36,Not Out,2,17,4
1847,Stuart Robert Thompson,1991-08-15,32,Left hand Bat,Right arm Medium fast,Bowler,5,Stuart Robert Thompson,41,2014-2019,328,56,14.9,0,18,37.22,0,23,0,-22.31,14,24,Out,4,18,5
1866,Craig Alexander Young,1990-04-04,33,Right hand Bat,Right arm Fast medium,Bowler,10,Craig Alexander Young,59,2015-2023,72,22,6.54,0,65,23.41,0,11,0,-16.86,21,35,Out,4,13,8
1870,Corey James Anderson,1990-12-13,33,Left hand Bat,Left arm Medium fast,Batting Allrounder,17,Corey James Anderson,31,2012-2018,485,94,24.25,0,14,35.35,0,19,0,-11.1,19,11,Not Out,2,17,6
1876,Todd Duncan Astle,1986-09-24,37,Right hand Bat,Legbreak,Bowler,4,Todd Duncan Astle,5,2016-2021,4,3,2.0,0,7,16.57,0,3,0,-14.57,2,3,Out,4,13,5
1880,Suzannah Wilson Bates,1987-09-16,36,Right hand Bat,Right arm Medium,Allrounder,9,Suzannah Wilson Bates,152,2007-2023,4118,124,30.05,1,56,23.75,0,81,0,6.3,89,59,Not Out,4,26,16
1891,Trent Alexander Boult,1989-07-22,34,Right hand Bat,Left arm Fast medium,Bowler,16,Trent Alexander Boult,55,2013-2022,32,8,6.4,0,74,22.25,0,20,0,-15.85,27,27,Out,4,13,9
1893,Douglas Andrew John Bracewell,1990-09-28,33,Right hand Bat,Right arm Fast medium,Bowler,6,Douglas Andrew John Bracewell,20,2011-2021,126,44,21.0,0,20,23.5,0,7,0,-2.5,8,10,Out,3,25,10
1894,Michael Gordon Bracewell,1991-02-14,32,Left hand Bat,Right arm Offbreak,Batting Allrounder,5,Michael Gordon Bracewell,16,2022-2023,113,61,18.83,0,21,10.42,0,8,0,8.4,11,5,Not Out,3,5,1
1906,Eden Jean Carson,2001-08-08,22,Right hand Bat,Right arm Offbreak,Bowler,2,Eden Jean Carson,20,2022-2023,8,4,4.0,0,23,15.39,0,4,0,-11.39,12,6,Not Out,3,18,1
1909,Mark Sinclair Chapman,1994-06-27,29,Left hand Bat,Slow Left arm Orthodox,Allrounder,8,Mark Sinclair Chapman,67,2014-2024,1381,104,28.18,1,4,24.75,0,23,0,3.43,32,31,Not Out,1,9,10
1931,Colin de Grandhomme,1986-07-22,37,Right hand Bat,Right arm Medium fast,Allrounder,18,Colin de Grandhomme,41,2012-2021,505,59,15.78,0,12,38.41,0,20,0,-22.63,17,22,Out,2,22,9
1932,Anton Paul Devcich,1985-09-28,38,Left hand Bat,Slow Left arm Orthodox,Opening Batter,10,Anton Paul Devcich,4,2013-2014,111,59,27.75,0,2,40.0,0,2,0,-12.25,2,2,Out,2,16,1
1933,Sophie Frances Monique Devine,1989-09-01,34,Right hand Bat,Right arm Medium,Batting Allrounder,9,Sophie Frances Monique Devine,127,2006-2023,3107,105,28.76,1,113,18.0,0,42,0,10.75,76,46,Out,4,22,17
1939,Jacob Andrew Duffy,1994-08-02,29,Right hand Bat,Right arm Fast medium,Bowler,4,Jacob Andrew Duffy,10,2020-2023,9,6,9.0,0,10,22.3,0,3,0,-13.3,8,2,Not Out,4,33,3
1941,Kate Ellen Ebrahim,1991-11-11,32,Right hand Bat,Right arm Medium,Bowler,3,Kate Ellen Ebrahim,39,2010-2021,91,27,8.27,0,22,27.04,0,8,0,-18.77,19,20,Not Out,3,9,11
1944,Lachlan Hammond Ferguson,1991-06-13,32,Right hand Bat,Right arm Fast,Bowler,9,Lachlan Hammond Ferguson,36,2017-2024,23,14,3.83,0,49,20.04,1,10,0,-16.2,20,14,Out,5,21,7
1960,Madeline Lee Green,1992-10-20,31,Right hand Bat,Right arm Offbreak,Middle order Batter,4,Madeline Lee Green,87,2012-2023,926,49,17.14,0,1,58.0,0,28,2,-40.85,48,35,Not Out,1,6,11
1965,Brooke Maree Halliday,1995-10-30,28,Left hand Bat,Right arm Medium,Allrounder,4,Brooke Maree Halliday,22,2021-2023,123,25,10.25,0,1,33.0,0,3,0,-22.75,10,10,Not Out,1,11,2
1968,Matthew James Henry,1991-12-14,32,Right hand Bat,Right arm Fast medium,Bowler,9,Matthew James Henry,17,2014-2024,12,10,4.0,0,20,24.8,0,3,0,-20.8,10,6,Out,3,32,10
1971,Roneel Magan Hira,1987-01-23,37,Left hand Bat,Slow Left arm Orthodox,Bowler,4,Roneel Magan Hira,15,2012-2013,37,20,18.5,0,10,33.7,0,2,0,-15.2,6,6,Not Out,2,42,1
1974,Holly Rachael Huddleston,1987-10-11,36,Right hand Bat,Right arm Medium fast,Bowler,3,Holly Rachael Huddleston,16,2014-2020,15,10,7.5,0,13,18.3,0,5,0,-10.8,11,4,Out,2,9,6
1978,Kyle Alex Jamieson,1994-12-30,29,Right hand Bat,Right arm Fast medium,Bowler,5,Kyle Alex Jamieson,13,2020-2023,49,30,24.5,0,10,41.2,0,4,0,-16.7,9,4,Out,3,23,3
1980,Hayley Nicole Kayla Jensen,1992-10-07,31,Right hand Bat,Right arm Medium,Bowler,9,Hayley Nicole Kayla Jensen,53,2014-2023,188,19,8.54,0,48,20.54,0,13,0,-11.99,27,22,Out,3,5,9
1982,Frances Cecilia Jonas,2004-04-08,19,Right hand Bat,Slow Left arm Orthodox,Bowler,4,Frances Cecilia Jonas,23,2022-2023,9,4,9.0,0,16,23.93,0,8,0,-14.93,12,9,Not Out,3,16,1
1985,Leigh Meghan Kasperek,1992-02-15,31,Right hand Bat,Right arm Offbreak,Bowler,8,Leigh Meghan Kasperek,48,2015-2023,104,19,6.11,0,77,14.4,0,12,0,-8.28,32,16,Out,4,7,8
1989,Amelia Charlotte Kerr,2000-10-13,23,Right hand Bat,Legbreak,Allrounder,6,Amelia Charlotte Kerr,67,2016-2023,909,70,26.73,0,64,21.82,0,34,0,4.9,39,25,Not Out,3,11,7
1990,Jessica Mackenzie Kerr,1998-01-18,26,Right hand Bat,Right arm Medium,Bowler,5,Jessica Mackenzie Kerr,26,2020-2023,56,12,9.33,0,16,29.12,0,5,0,-19.79,13,10,Not Out,2,13,3
1991,Anaru Kyle Kitchen,1984-02-21,39,Right hand Bat,Slow Left arm Orthodox,Middle order Batter,4,Anaru Kyle Kitchen,5,2017-2018,38,16,12.66,0,2,23.0,0,3,0,-10.33,3,1,Out,1,3,1
1992,Scott Christopher Kuggeleijn,1992-01-03,32,Right hand Bat,Right arm Fast medium,Bowling Allrounder,7,Scott Christopher Kuggeleijn,18,2019-2021,79,35,19.75,0,16,29.43,0,6,0,-9.68,9,5,Not Out,3,27,2
1999,Benjamin George Lister,1996-01-01,28,Right hand Bat,Left arm Fast medium,Bowler,3,Benjamin George Lister,10,2023-2023,0,0,0.0,0,10,30.6,0,5,0,-30.6,5,4,Not Out,3,35,0
2001,Frances Louise Mackay,1990-06-01,33,Right hand Bat,Right arm Offbreak,Opening Batter,2,Frances Louise Mackay,30,2011-2021,332,51,19.52,0,25,23.04,0,7,0,-3.51,14,16,Out,3,18,10
2002,Rosemary Alison Mair,1998-11-07,25,Right hand Bat,Right arm Medium,Bowler,3,Rosemary Alison Mair,19,2019-2022,18,13,9.0,0,14,23.85,0,0,0,-14.85,9,9,Not Out,2,17,3
2006,Mitchell John McClenaghan,1986-06-11,37,Left hand Bat,Left arm Fast medium,Bowler,22,Mitchell John McClenaghan,29,2012-2018,24,10,6.0,0,30,26.3,0,7,0,-20.3,16,12,Out,3,17,6
2008,Cole Edward McConchie,1992-01-12,32,Right hand Bat,Right arm Offbreak,Allrounder,5,Cole Edward McConchie,9,2021-2023,84,31,21.0,0,7,22.71,0,1,0,-1.71,3,5,Not Out,3,15,2
2014,Adam Fraser Milne,1992-04-13,31,Right hand Bat,Right arm Fast,Bowler,12,Adam Fraser Milne,50,2010-2024,83,16,9.22,0,57,24.75,1,11,0,-15.53,30,16,Not Out,5,26,14
2015,Daryl Joseph Mitchell,1991-05-20,32,Right hand Bat,Right arm Medium,Batting Allrounder,7,Daryl Joseph Mitchell,63,2019-2024,1260,72,26.25,0,8,18.5,0,30,0,7.75,36,21,Not Out,2,27,5
2018,Colin Munro,1987-03-11,36,Left hand Bat,Right arm Medium fast,Opening Batter,28,Colin Munro,65,2012-2020,1724,109,31.34,3,4,46.5,0,19,0,-15.15,32,28,Not Out,1,12,8
2021,James Douglas Sheahan Neesham,1990-09-17,33,Left hand Bat,Right arm Medium fast,Batting Allrounder,30,James Douglas Sheahan Neesham,72,2012-2023,900,48,23.07,0,36,28.25,0,32,0,-5.17,45,22,Not Out,3,16,11
2023,Thamsyn Michelle Moupia Newton,1995-06-03,28,Right hand Bat,Right arm Medium,Bowler,3,Thamsyn Michelle Moupia Newton,15,2015-2021,22,14,5.5,0,9,14.0,0,8,0,-8.5,10,4,Out,3,9,6
2026,Robert James Nicol,1983-05-28,40,Right hand Bat,"Right arm Medium, Right arm Offbreak",Opening Batter,6,Robert James Nicol,21,2010-2013,327,58,17.21,0,5,33.4,0,5,0,-16.18,8,10,Out,2,20,3
2034,Ajaz Yunus Patel,1988-10-21,35,Left hand Bat,Slow Left arm Orthodox,Bowler,7,Ajaz Yunus Patel,7,2018-2021,7,4,3.5,0,11,10.72,0,0,0,-7.22,2,5,Out,4,16,3
2035,Molly Mae Penfold,2001-06-15,22,Right hand Bat,Right arm Medium,Bowler,2,Molly Mae Penfold,7,2022-2023,3,2,1.5,0,5,26.2,0,1,0,-24.7,4,3,Out,2,17,1
2038,Anna Michelle Peterson,1990-09-12,33,Right hand Bat,Right arm Offbreak,Top order Batter,3,Anna Michelle Peterson,33,2015-2020,92,15,6.13,0,18,23.72,0,8,0,-17.58,23,10,Out,3,2,5
2040,Glenn Dominic Phillips,1996-12-06,27,Right hand Bat,Right arm Offbreak,Allrounder,10,Glenn Dominic Phillips,71,2017-2024,1716,108,31.77,2,2,52.0,0,46,2,-20.22,41,26,Out,1,11,7
2045,Seth Hayden Arnold Rance,1987-08-23,36,Right hand Bat,Right arm Medium,Bowler,4,Seth Hayden Arnold Rance,8,2017-2019,10,8,3.33,0,10,24.5,0,0,0,-21.16,4,3,Out,3,26,2
2048,Rachin Ravindra,1999-11-18,24,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,5,Rachin Ravindra,19,2021-2024,146,26,12.16,0,11,22.45,0,9,0,-10.28,9,8,Out,3,22,3
2049,Michael James Grattan Rippon,1991-09-14,32,Right hand Bat,Left arm Wrist spin,Allrounder,13,Michael James Grattan Rippon,19,2013-2022,216,42,30.85,0,17,20.41,0,4,0,10.44,10,8,Out,3,8,9
2052,Hannah Maree Rowe,1996-10-03,27,Right hand Bat,Right arm Medium,Bowler,3,Hannah Maree Rowe,41,2015-2023,146,33,18.25,0,20,25.1,0,14,0,-6.85,26,14,Out,3,18,8
2055,Jesse Daniel Ryder,1984-08-06,39,Left hand Bat,Right arm Medium,Allrounder,13,Jesse Daniel Ryder,22,2008-2014,457,62,22.85,0,2,34.0,0,7,0,-11.15,15,6,Out,1,2,6
2058,Mitchell Josef Santner,1992-02-05,32,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,15,Mitchell Josef Santner,97,2015-2024,643,77,16.48,0,106,22.3,0,38,0,-5.81,55,35,Not Out,4,11,9
2059,Amy Ella Satterthwaite,1986-10-07,37,Left hand Bat,Right arm Offbreak,Top order Batter,3,Amy Ella Satterthwaite,111,2007-2021,1784,71,21.49,0,26,23.42,1,36,0,-1.92,62,47,Not Out,6,17,14
2069,Inderbir Singh Sodhi,1992-10-31,31,Right hand Bat,Legbreak,Bowler,13,Inderbir Singh Sodhi,109,2014-2024,161,19,7.66,0,132,22.6,0,36,0,-14.93,61,39,Out,4,28,10
2071,Timothy Grant Southee,1988-12-11,35,Right hand Bat,Right arm Medium fast,Bowler,12,Timothy Grant Southee,122,2008-2024,303,39,11.65,0,157,22.82,2,64,0,-11.16,58,53,Out,5,18,16
2077,Lea-Marie Maureen Tahuhu,1990-09-23,33,Right hand Bat,Right arm Medium fast,Bowler,6,Lea-Marie Maureen Tahuhu,80,2011-2023,173,27,9.61,0,78,19.05,0,18,0,-9.44,48,31,Out,4,6,12
2084,Blair Marshall Tickner,1993-10-13,30,Right hand Bat,Right arm Medium fast,Bowler,4,Blair Marshall Tickner,18,2019-2023,11,5,5.5,0,19,28.21,0,2,0,-22.71,9,9,Not Out,4,27,4
2094,Jessica Marie Watkin,1998-05-07,25,Right hand Bat,Right arm Offbreak,Batting Allrounder,3,Jessica Marie Watkin,9,2018-2018,118,77,16.85,0,7,18.85,0,1,0,-2.0,3,6,Not Out,3,9,0
2102,Ben Matthew Wheeler,1991-11-10,32,Right hand Bat,Left arm Medium fast,Bowler,4,Ben Matthew Wheeler,6,2017-2018,37,30,18.5,0,7,30.85,0,1,0,-12.35,3,3,Out,2,16,1
2105,Kane Stuart Williamson,1990-08-08,33,Right hand Bat,Right arm Offbreak,Top order Batter,14,Kane Stuart Williamson,89,2011-2024,2547,95,33.96,0,6,27.33,0,44,0,6.62,46,40,Out,2,16,13
2108,George Herrick Worker,1989-08-23,34,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,9,George Herrick Worker,2,2015-2015,90,62,45.0,0,1,19.0,0,1,0,26.0,1,1,Out,1,19,0
2356,Aamer Jamal,1996-07-05,27,Right hand Bat,Right arm Medium fast,Allrounder,5,Aamer Jamal,6,2022-2024,88,41,22.0,0,2,93.5,0,1,0,-71.5,2,4,Out,1,13,2
2361,Muhammad Abbas Afridi,2001-04-05,22,Right hand Bat,Right arm Medium fast,Bowler,6,Muhammad Abbas Afridi,3,2024-2024,23,15,11.5,0,5,16.2,0,1,0,-4.7,1,2,Not Out,3,34,0
2387,Aiman Anwer,1991-09-14,32,Right hand Bat,Right arm Medium fast,Bowler,3,Aiman Anwer,37,2016-2023,41,9,5.12,0,29,29.44,0,9,0,-24.32,15,21,Out,3,30,7
2398,Aliya Riaz,1992-09-24,31,Right hand Bat,Right arm Medium,Allrounder,4,Aliya Riaz,83,2014-2023,938,57,19.95,0,20,31.5,0,28,0,-11.54,33,45,Not Out,2,16,9
2405,Anam Amin,1992-08-11,31,Left hand Bat,Slow Left arm Orthodox,Bowler,2,Anam Amin,65,2014-2022,3,2,3.0,0,61,21.06,0,11,0,-18.06,27,33,Not Out,4,16,8
2408,Anwar Ali,1987-11-25,36,Right hand Bat,Right arm Medium fast,Bowler,13,Anwar Ali,16,2008-2016,109,46,15.57,0,10,36.7,0,5,0,-21.12,8,7,Out,2,27,8
2409,Arafat Minhas,2005-01-02,19,Left hand Bat,Slow Left arm Orthodox,Bowler,5,Arafat Minhas,3,2023-2023,38,25,19.0,0,4,11.25,0,0,0,7.75,1,2,Out,2,11,0
2415,Arshad Iqbal,2000-12-26,23,Right hand Bat,Right arm Medium fast,Bowler,4,Arshad Iqbal,3,2021-2023,0,0,0.0,0,4,13.25,0,0,0,-13.25,1,2,Out,3,14,2
2444,Bilawal Bhatti,1991-09-17,32,Right hand Bat,Right arm Medium fast,Bowler,10,Bilawal Bhatti,9,2013-2015,23,13,11.5,0,5,51.0,0,1,0,-39.5,6,3,Not Out,2,36,2
2445,Bismah Maroof,1991-07-18,32,Left hand Bat,Legbreak,Allrounder,4,Bismah Maroof,140,2009-2023,2893,70,27.55,0,36,22.77,0,37,0,4.77,60,74,Not Out,3,21,14
2446,Danish Aziz,1995-11-20,28,Left hand Bat,Slow Left arm Orthodox,Allrounder,6,Danish Aziz,2,2021-2021,37,22,18.5,0,2,14.5,0,0,0,4.0,1,1,Out,2,29,0
2447,Diana Baig,1995-10-15,28,Right hand Bat,Right arm Medium,Bowler,3,Diana Baig,47,2015-2023,51,8,5.1,0,32,27.37,0,12,0,-22.27,20,23,Not Out,2,11,8
2453,Faheem Ashraf,1994-01-16,30,Left hand Bat,Right arm Medium,Bowling Allrounder,10,Faheem Ashraf,48,2017-2023,311,31,12.44,0,36,27.25,0,12,0,-14.81,34,13,Out,3,5,6
2460,Fatima Sana,2001-11-08,22,Right hand Bat,Right arm Medium,Bowling Allrounder,5,Fatima Sana,29,2019-2023,146,35,20.85,0,24,29.29,0,10,0,-8.43,10,17,Not Out,3,18,4
2461,Fawad Alam,1985-10-08,38,Left hand Bat,Slow Left arm Orthodox,Top order Batter,9,Fawad Alam,24,2007-2010,194,28,17.63,0,8,11.87,0,7,0,5.76,15,9,Out,3,7,3
2467,Ghulam Fatima,1995-10-05,28,Right hand Bat,Legbreak,Bowler,2,Ghulam Fatima,5,2018-2022,6,6,3.0,0,2,54.0,0,0,0,-51.0,2,3,Not Out,1,26,4
2476,Haris Rauf,1993-11-07,30,Right hand Bat,Right arm Fast,Bowler,9,Haris Rauf,66,2020-2024,69,13,6.27,0,90,21.81,0,17,0,-15.53,39,23,Not Out,4,18,4
2479,Hasan Ali,1994-07-02,29,Right hand Bat,Right arm Medium fast,Bowler,9,Hasan Ali,50,2016-2022,129,23,14.33,0,60,23.56,0,12,0,-9.23,36,11,Out,4,18,6
2488,Mohammad Hussain Talat,1996-02-12,27,Left hand Bat,Right arm Medium fast,Allrounder,9,Mohammad Hussain Talat,18,2018-2021,394,63,24.62,0,4,13.5,0,5,0,11.12,14,4,Out,2,12,3
2489,Iftikhar Ahmed,1990-09-03,33,Right hand Bat,Right arm Offbreak,Middle order Batter,21,Iftikhar Ahmed,54,2016-2024,858,62,25.23,0,7,40.57,0,20,0,-15.33,27,24,Not Out,3,24,8
2491,Syed Imad Wasim,1988-12-18,35,Left hand Bat,Slow Left arm Orthodox,Allrounder,28,Syed Imad Wasim,66,2015-2023,486,64,15.18,0,65,21.78,1,20,0,-6.59,39,24,Not Out,5,14,8
2495,Imran Khan,1988-07-14,35,Right hand Bat,Left arm Medium fast,Bowler,6,Imran Khan,3,2015-2015,0,0,0.0,0,2,53.0,0,3,0,-53.0,2,1,Out,2,35,0
2498,Iram Javed,1991-12-16,32,Right hand Bat,Right arm Medium fast,Middle order Batter,3,Iram Javed,53,2013-2023,399,55,9.73,0,1,55.0,0,15,0,-45.26,21,27,Out,1,19,10
2506,Javeria Khan Wadood,1988-05-14,35,Right hand Bat,Right arm Offbreak,Top order Batter,2,Javeria Khan Wadood,112,2009-2023,2018,74,21.69,0,11,20.18,0,16,0,1.51,45,63,Not Out,2,23,14
2515,Kainat Imtiaz,1992-06-21,31,Right hand Bat,Right arm Medium fast,Bowler,3,Kainat Imtiaz,21,2010-2022,137,29,12.45,0,8,20.37,0,2,0,-7.92,9,10,Out,2,18,12
2530,Khushdil Shah,1995-02-07,28,Left hand Bat,Slow Left arm Orthodox,Middle order Batter,13,Khushdil Shah,27,2019-2023,344,36,19.11,0,3,13.0,0,5,0,6.11,14,13,Not Out,3,13,4
2552,Mohammad Amir,1992-04-13,31,Left hand Bat,Left arm Fast medium,Bowler,28,Mohammad Amir,50,2009-2020,59,21,7.37,0,59,21.4,0,4,0,-14.03,28,20,Not Out,4,13,11
2564,Mohammad Hasnain,2000-04-05,23,Right hand Bat,Right arm Fast,Bowler,13,Mohammad Hasnain,27,2019-2022,24,8,24.0,0,25,34.12,0,1,0,-10.12,15,12,Not Out,3,37,3
2571,Mohammad Nawaz,1994-03-21,29,Left hand Bat,Slow Left arm Orthodox,Allrounder,14,Mohammad Nawaz,60,2016-2024,477,45,18.34,0,50,27.22,0,26,0,-8.87,41,19,Not Out,3,5,8
2579,Mohammad Wasim,2001-08-25,22,Right hand Bat,Right arm Fast medium,Bowling Allrounder,8,Mohammad Wasim,29,2021-2024,46,12,11.5,0,36,20.86,0,17,0,-9.36,18,8,Not Out,4,24,3
2605,Naseem Shah,2003-02-15,20,Right hand Bat,Right arm Fast,Bowler,12,Naseem Shah,19,2022-2023,25,14,6.25,0,15,34.66,0,1,0,-28.41,9,10,Not Out,2,7,1
2606,Nashra Sandhu,1997-11-19,26,Right hand Bat,Slow Left arm Orthodox,Bowler,3,Nashra Sandhu,51,2017-2023,13,3,1.85,0,53,19.15,0,9,0,-17.29,23,27,Not Out,4,18,6
2610,Natalia Pervaiz,1995-12-25,28,Right hand Bat,Right arm Medium,Bowler,2,Natalia Pervaiz,17,2017-2023,78,15,7.09,0,6,17.33,0,3,0,-10.24,5,12,Out,3,20,6
2620,Nida Rashid Dar,1987-01-02,37,Right hand Bat,Right arm Offbreak,Bowling Allrounder,2,Nida Rashid Dar,141,2010-2023,1839,75,18.02,0,130,19.32,1,38,0,-1.29,60,75,Out,5,21,13
2623,Omaima Sohail,1997-07-11,26,Right hand Bat,Right arm Offbreak,Top order Batter,3,Omaima Sohail,48,2018-2023,455,43,11.97,0,13,18.23,1,14,0,-6.25,17,28,Out,5,13,5
2625,Qasim Akram,2002-12-01,21,Right hand Bat,Right arm Offbreak,Allrounder,5,Qasim Akram,3,2023-2023,21,12,10.5,0,3,7.66,0,2,0,2.83,1,2,Out,2,5,0
2648,Sadia Iqbal,1995-08-05,28,Left hand Bat,Slow Left arm Orthodox,Bowler,2,Sadia Iqbal,28,2019-2023,6,4,3.0,0,29,20.86,0,5,0,-17.86,15,13,Not Out,3,19,4
2664,Sana Mir,1986-01-05,38,Right hand Bat,Right arm Offbreak,Bowler,3,Sana Mir,106,2009-2019,802,48,14.07,0,89,23.42,0,26,0,-9.35,42,60,Not Out,4,13,10
2670,Shadab Khan,1998-10-04,25,Right hand Bat,Legbreak,Allrounder,19,Shadab Khan,92,2017-2023,569,52,18.96,0,104,22.12,0,29,0,-3.15,57,29,Out,4,8,6
2672,Shaheen Shah Afridi,2000-04-06,23,Left hand Bat,Left arm Fast,Bowler,13,Shaheen Shah Afridi,57,2018-2024,87,22,9.66,0,73,22.3,0,12,0,-12.63,34,20,Out,4,22,6
2676,Shahnawaz Dahani,1998-08-05,25,Right hand Bat,Right arm Fast medium,Bowler,6,Shahnawaz Dahani,11,2021-2022,16,16,16.0,0,8,40.0,0,1,0,-24.0,6,5,Out,2,37,1
2694,Sohail Tanvir,1984-12-12,39,Left hand Bat,Left arm Medium fast,Bowler,21,Sohail Tanvir,57,2007-2017,196,41,11.52,0,54,26.92,0,7,0,-15.39,38,16,Out,3,12,10
2701,Syeda Aroob Shah,2003-12-31,20,Right hand Bat,Legbreak Googly,Allrounder,3,Syeda Aroob Shah,7,2019-2023,4,3,4.0,0,3,58.0,0,3,0,-54.0,2,4,Not Out,1,21,4
2716,Umm-e-Hani,1996-08-12,27,Right hand Bat,Right arm Offbreak,Bowler,3,Umm-e-Hani,8,2023-2023,26,14,8.66,0,4,39.25,0,0,0,-30.58,4,4,Not Out,1,12,0
2718,Usama Mir,1995-12-23,28,Right hand Bat,Legbreak,Bowler,9,Usama Mir,3,2024-2024,2,1,1.0,0,2,55.5,0,1,0,-54.5,1,2,Not Out,1,21,0
2721,Usman Qadir,1993-08-10,30,Left hand Bat,Legbreak,Bowler,16,Usman Qadir,25,2020-2023,36,18,9.0,0,31,18.48,0,5,0,-9.48,12,10,Not Out,4,13,3
2729,Wahab Riaz,1985-06-28,38,Right hand Bat,Left arm Fast,Bowler,51,Wahab Riaz,36,2008-2020,154,30,12.83,0,34,28.55,0,6,0,-15.72,16,19,Not Out,3,18,12
2748,Kyle John Abbott,1987-06-18,36,Right hand Bat,Right arm Fast medium,Bowler,15,Kyle John Abbott,21,2013-2016,23,9,11.5,0,26,22.26,0,7,0,-10.76,12,9,Not Out,3,20,3
2768,Farhaan Behardien,1983-10-09,40,Right hand Bat,Right arm Fast medium,Batting Allrounder,7,Farhaan Behardien,38,2012-2018,518,64,32.37,0,3,9.0,0,14,0,23.37,19,19,Not Out,2,15,6
2775,Anneke Elizabeth Bosch,1993-08-17,30,Right hand Bat,Right arm Medium,Batting Allrounder,3,Anneke Elizabeth Bosch,33,2019-2024,551,67,25.04,0,8,23.0,0,9,0,2.04,12,19,Out,2,11,5
2799,Gerald Coetzee,2000-10-02,23,Right hand Bat,Right arm Fast,Bowler,7,Gerald Coetzee,4,2023-2023,25,13,8.33,0,6,23.33,0,1,0,-15.0,1,3,Out,3,32,0
2807,Carl Junior Dala,1989-12-29,34,Right hand Bat,Right arm Medium,Bowler,7,Carl Junior Dala,10,2018-2021,19,12,19.0,0,13,23.61,0,3,0,-4.61,5,5,Not Out,3,35,3
